item_name,is_expense,quantity,sum_of_one
Воздушные шарики,TRUE,5000,5
Автоматы с мороженным,TRUE,1,14500
Продажа мороженного,FALSE,400,120
Аппарат для сладкой ваты,TRUE,2,25000
Реклама в соцсетях,TRUE,1,15000
Услуги аквагрима,FALSE,200,500
Расходные материалы (краски),TRUE,10,1200
Аренда склада,TRUE,1,20000
Продажа прохладительных напитков,FALSE,100,80
Закупка напитков оптом,TRUE,1500,35
Гелий для шаров (баллоны),TRUE,10,8000
Организация фотозоны,FALSE,15,10000
Монтаж декораций,TRUE,15,3000
Услуги фотографа,TRUE,10,5000
Билеты на детское шоу,FALSE,15,800
Костюмы персонажей,TRUE,4,12000
Налоги и сборы,TRUE,1,25000
